lat,lon
38.8296219,-77.3057108
38.8294968,-77.3060164
38.829545,-77.3062532
38.829599,-77.3062941
38.8296521,-77.3063292
38.8297996,-77.3064329
38.829879,-77.3064887
38.8301498,-77.3066641
38.8302839,-77.3067514
38.8304188,-77.3068416
38.8307225,-77.3070449
38.8308641,-77.3071385
38.8308785,-77.3071481
38.8309747,-77.3072171
38.8310225,-77.3072514
38.8310586,-77.3072773
38.8311975,-77.3072514
38.8312578,-77.307262
38.8313987,-77.3072867
38.8314458,-77.3071906
38.8315263,-77.3069939
38.8315727,-77.3068432
